Name;Population;Degree centrality;Betweenness centrality;Eigenvector centrality
Carnuntum (2);5.782;4;306,694703;0,039852
Savaria;7.019;4;1544,754767;0,04313
Scarbantia;2.760;3;407,748734;0,034737
Siscia;3.085;4;4041,482971;0,046
Vindobona;4.837;4;598,908481;0,040239
Augusta Vindelicum;10.608;3;1586,123715;0,027633
Curia;788;2;2164,11895;0,012959
Agrigentum;53.334;2;1;0,024602
Camarina;26.498;2;296,83349;0,058752
Lilybaeum;15.828;10;29043,57315;0,361402
Messana;11.531;9;102151,8956;0,348818
Panormus;5.067;2;0;0,120219
Syracusae;83.834;2;0;0,111476
Antiochia (Syria);118.288;5;8839,112685;0,075145
Apamea (Syria) (1);64.408;4;4769,834648;0,04834
Cyrrus;12.680;3;5484,153744;0,03108
Damascus;28.211;4;2282,495455;0,029965
Heliopolis (Syria);13.870;2;162,971635;0,01518
Laodicea (Syria);56.395;5;7167,65414;0,076668
Palmyra;25.091;3;2519,710662;0,026566
Philadelphia (Syria);3.937;4;498,975192;0,03228
Samosata;31.420;3;2109,397727;0,030792
Tyrus;13.391;2;7,416667;0,023579
Zeugma;33.506;4;4600,276241;0,041053
Aelia Capitolina;45.064;3;51,350581;0,0259
Apollonia (Syria Palestina);673;2;174,294444;0,027484
Ascalon;8.209;5;4017,711489;0,085336
Azotos;5.782;2;165,097222;0,027084
Caesarea Maritima;6.779;5;8063,030416;0,087272
Eleutheropolis;3.937;2;324,716188;0,026778
Emmaus;5.782;2;2;0,021323
Gaza;17.084;3;1969,450048;0,035791
Lydda;907;4;999,957753;0,052826
Scythopolis;31.124;4;5285,225268;0,043184
Byzantium;35.321;8;20746,73121;0,123053
Heraclea (Thracia);9.280;6;16101,14858;0,095004
Heraclea (Thracia);9.280;4;7535,611646;0,063993
Philippopolis (Thracia);14.111;3;9736,963419;0,027044
Serdica;15.580;3;9021,850519;0,024564
